A,1,378,672,498,251,2612,1,1,1,1,1,0,17880,584,-3716,-287,-631,-126
A,1,354,670,498,307,2618,1,1,1,1,1,0,17896,1280,-3944,-536,-526,-214
A,1,354,657,456,241,2640,1,1,1,1,1,0,17708,1068,-4272,-858,-197,-212
A,1,358,658,479,278,2609,1,1,1,1,1,0,18300,1488,-3868,-1023,587,-419
A,1,368,634,494,269,2618,1,1,1,1,1,0,17600,888,-3512,-1273,-85,93
A,1,366,672,442,281,2623,1,1,1,1,1,0,18088,1236,-3500,-756,428,-190
A,1,369,646,467,256,2638,1,1,1,1,1,0,17860,1344,-3428,-632,-245,72
A,1,383,640,483,261,2608,1,1,1,1,1,0,17916,1564,-3144,-611,159,-15
A,1,375,656,472,257,2611,1,1,1,1,1,0,18000,960,-3380,-208,-201,249
A,1,335,660,474,243,2630,1,1,1,1,1,0,17948,1132,-3524,-330,-183,86
A,1,348,672,471,247,2613,1,1,1,1,1,0,17840,1208,-3792,-535,-313,168
A,1,352,646,477,269,2621,1,1,1,1,1,0,18140,948,-3440,-282,-178,186
A,1,365,656,465,270,2616,1,1,1,1,1,0,17800,1128,-3544,-665,-307,33
A,1,337,661,475,247,2615,1,1,1,1,1,0,17768,824,-3748,-216,-160,140
A,1,370,656,459,281,2607,1,1,1,1,1,0,17972,1124,-3560,-628,-306,-58
A,1,347,641,496,265,2603,1,1,1,1,1,0,18036,1172,-3392,-414,-516,78
A,1,357,673,471,245,2618,1,1,1,1,1,0,17848,1392,-3552,-464,-372,71
A,1,379,639,493,245,2620,1,1,1,1,1,0,17944,1152,-3696,-793,-308,34
A,1,367,658,464,272,2595,1,1,1,1,1,0,18048,920,-3616,-446,-243,22
A,1,358,644,489,232,2630,1,1,1,1,1,0,17896,1372,-3408,-716,-290,-12
A,1,379,656,495,236,2611,1,1,1,1,1,0,17936,1016,-3556,-283,-401,87
A,1,373,655,464,292,2613,1,1,1,1,1,0,17936,1372,-3360,-532,-441,-21
A,1,355,648,490,247,2621,1,1,1,1,1,0,17820,1280,-3852,-236,-523,194
A,1,344,643,510,231,2635,1,1,1,1,1,0,17984,1096,-3924,-484,-162,167
A,1,367,644,484,246,2631,1,1,1,1,1,0,17896,1044,-3600,-577,-431,129
A,1,372,675,462,247,2623,1,1,1,1,1,0,18016,1232,-3788,-305,-196,165
A,1,354,642,487,261,2626,1,1,1,1,1,0,17820,1120,-3696,-419,-324,76
A,1,394,630,501,255,2612,1,1,1,1,1,0,17824,1220,-3880,-441,-277,92
A,1,370,646,446,298,2594,1,1,1,1,1,0,17720,1276,-3908,-612,-1,13
A,1,358,650,464,258,2627,1,1,1,1,1,0,17832,1160,-3804,-681,-175,73
A,1,365,641,479,258,2608,1,1,1,1,1,0,18032,1276,-3540,-550,-115,186
A,1,377,648,473,257,2608,1,1,1,1,1,0,18000,1160,-3572,-780,-238,88
A,1,390,638,469,272,2619,1,1,1,1,1,0,17960,1328,-3668,-679,-266,189
A,1,358,666,461,271,2603,1,1,1,1,1,0,17916,960,-3512,-405,-206,159
A,1,348,650,496,247,2624,1,1,1,1,1,0,17924,1316,-3504,-461,-256,105
A,1,374,656,475,277,2624,1,1,1,1,1,0,17664,1176,-3660,-609,-238,116
A,1,355,668,464,251,2624,1,1,1,1,1,0,18008,1208,-3548,-557,-286,98
A,1,359,641,526,213,2612,1,1,1,1,1,0,18004,1248,-3344,-282,-384,169
A,1,337,671,449,278,2615,1,1,1,1,1,0,18152,1184,-3376,-424,-480,162
A,1,381,663,452,269,2629,1,1,1,1,1,0,18000,1112,-3640,-387,-63,-13
A,1,354,650,489,254,2624,1,1,1,1,1,0,17772,1292,-3664,-618,-388,43
A,1,364,652,483,262,2615,1,1,1,1,1,0,17952,940,-3656,-429,-158,72
A,1,375,681,448,293,2608,1,1,1,1,1,0,17728,1028,-3752,-453,-261,83
A,1,350,657,464,265,2613,1,1,1,1,1,0,18068,1496,-3460,-497,-396,113
A,1,349,629,499,237,2608,1,1,1,1,1,0,18000,1172,-3708,-495,-253,98
A,1,366,653,479,272,2608,1,1,1,1,1,0,18032,1208,-3592,-561,-476,120
A,1,369,662,478,256,2625,1,1,1,1,1,0,17940,1332,-3636,-493,-272,142
A,1,349,653,470,238,2617,1,1,1,1,1,0,17884,1340,-3536,-527,-451,197
A,1,363,641,475,269,2601,1,1,1,1,1,0,17872,1184,-3640,-436,-238,171
A,1,354,656,456,277,2614,1,1,1,1,1,0,17840,1188,-3684,-515,-176,96
A,1,336,667,474,249,2627,1,1,1,1,1,0,17976,1448,-3544,-628,-352,147
A,1,361,646,474,268,2608,1,1,1,1,1,0,17908,1012,-3756,-652,-253,158
A,1,386,660,463,268,2593,1,1,1,1,1,0,18040,1188,-3484,-508,-322,213
A,1,357,661,482,271,2609,1,1,1,1,1,0,17828,1224,-3612,-437,-267,191
A,1,371,647,490,226,2610,1,1,1,1,1,0,17924,1200,-3376,-595,-326,192
A,1,389,656,454,258,2627,1,1,1,1,1,0,17836,1008,-3704,-549,-63,82
A,1,384,659,438,297,2594,1,1,1,1,1,0,17896,1140,-3712,-572,-239,-39
A,1,320,677,473,240,2639,1,1,1,1,1,0,17924,1152,-3732,-647,-171,28
A,1,352,645,494,251,2606,1,1,1,1,1,0,17876,1320,-3556,-475,-171,42
A,1,378,659,457,277,2608,1,1,1,1,1,0,17912,1416,-3572,-615,-169,81
A,1,354,677,437,272,2613,1,1,1,1,1,0,17932,1232,-3476,-528,-179,74
A,1,373,654,501,241,2613,1,1,1,1,1,0,17772,1264,-3688,-504,-319,64
A,1,382,656,469,282,2609,1,1,1,1,1,0,17736,940,-3588,-302,-511,205
A,1,353,663,487,254,2614,1,1,1,1,1,0,18032,1404,-3428,-491,-271,2
A,1,343,651,485,247,2625,1,1,1,1,1,0,17900,1244,-3712,-637,-352,121
A,1,361,649,494,294,2606,1,1,1,1,1,0,18040,1124,-3616,-345,-115,178
A,1,367,671,464,288,2606,1,1,1,1,1,0,17852,1140,-3700,-434,-303,53
A,1,343,687,438,278,2609,1,1,1,1,1,0,17844,1232,-3344,-566,-480,-31
A,1,368,629,496,267,2607,1,1,1,1,1,0,17920,1336,-3640,-451,-498,57
A,1,385,642,477,276,2606,1,1,1,1,1,0,17884,1072,-3920,-564,-617,183
A,1,359,671,448,243,2615,1,1,1,1,1,0,17972,1456,-3952,-287,44,83
A,1,353,668,496,240,2628,1,1,1,1,1,0,17840,1068,-3696,-834,-189,61
